,typeId,typeName,id,code,name,zoneId,zone,address,largeCar,car,carDis,carWoman,carGreen,moto,motoDis,largeCar_total,car_total,carDis_total,carWoman_total,carGreen_total,moto_total,motoDis_total,chargeTime,chargeFee,update_time,lnglat
39,2,公有收費停車場,136,A01271,和平公園停車場,2,東區,台南市東區文化路100號和平公園旁,0,42,0,0,0,0,0,0,79,2,2,2,0,0,24小時,每小時20元,2022-10-25 15:37:36,"22.977825,120.233083"
40,2,公有收費停車場,137,A01281,德光公園停車場,2,東區,台南市東區崇德一街德光公園東北側,0,20,0,0,0,0,0,0,17,1,1,1,0,0,24小時,每小時20元,2022-10-25 13:20:30,"22.979767,120.221511"
41,2,公有收費停車場,138,A01291,崇明五街公兒E37停車場,2,東區,台南市東區崇明路與崇明五街口西南側,0,16,0,0,0,0,0,0,25,1,1,1,0,0,24小時,每小時20元,2022-10-25 13:33:21,"22.979940,120.217013"
42,2,公有收費停車場,140,A01311,泉南里停車場,2,東區,台南市東區府連路344巷53號旁空地停車場,0,9,0,0,0,0,0,0,17,0,0,0,0,0,,,2022-11-26 16:06:03,"22.983160,120.216030"
43,2,公有收費停車場,142,A01321, 裕文圖書館停車場,2,東區,台南市東區裕信路237號(裕文圖書館旁),0,6,0,0,0,0,0,0,20,0,0,0,0,0,,,2022-11-26 16:06:02,"22.982166,120.245506"
44,2,公有收費停車場,144,A01341,立德臨時停車場,2,東區,台南市東區立德一路與立德五路口,0,36,0,0,0,0,0,0,133,0,0,0,0,0,,,2022-11-26 16:06:02,"22.976128,120.214834"
45,5,智慧停車,145,D00001,林森路-3路邊停車格,2,東區,林森路二段,0,176,0,0,0,0,0,0,209,0,0,0,0,0,08:00~22:00,每小時20元,2022-11-26 16:05:11,"22.995708,120.224279"
46,5,智慧停車,146,D00002,小東路-1 前鋒路口-勝利路口,2,東區,小東路-1 前鋒路口-勝利路口,0,68,0,0,0,0,0,0,75,0,0,0,0,0,08:00~22:00,每小時20元,2022-11-26 16:05:06,"23.001162,120.216190"
47,5,智慧停車,147,D00003,小東路-2  勝利路口-成大側門,2,東區,小東路-2  勝利路口-成大側門,0,27,0,0,0,0,0,0,45,0,0,0,0,0,08:00~22:00,每小時20元,2022-11-26 16:05:07,"23.000798,120.219560"
48,5,智慧停車,148,D00004,小東路-3 成大側門-長榮路口,2,東區,小東路-3 成大側門-長榮路口,0,28,0,0,0,0,0,0,34,0,0,0,0,0,08:00~22:00,每小時20元,2022-11-26 16:05:07,"23.000670,120.220920"
49,5,智慧停車,149,D00005,小東路-4 長榮路口-中華東路口,2,東區,小東路-4 長榮路口-中華東路口,0,59,0,0,0,0,0,0,81,0,0,0,0,0,08:00~22:00,每小時20元,2022-11-26 16:05:07,"23.000551,120.223380"
50,4,路邊委外,249,C00044,南榕大道-1,5,安平區,南榕大道(東段),0,45,0,0,0,0,0,0,54,0,0,0,0,0,,,2022-11-26 00:00:15,"22.990382,120.185285"
51,4,路邊委外,250,C00045,南榕大道-2,5,安平區,南榕大道(西段),0,44,0,0,0,0,0,0,57,0,0,0,0,0,,,2022-11-26 00:00:15,"22.990056,120.184344"
52,4,路邊委外,251,C00046,永華路-3,5,安平區,中華西路口-光洲路口兩側,0,252,0,0,0,0,0,0,279,0,0,0,0,0,,,2022-11-26 00:00:15,"22.996521,120.186501"
53,4,路邊委外,252,C00047,和緯路-1,4,北區,北門路口-公園路口兩側,0,62,0,0,0,0,0,0,68,0,0,0,0,0,,,2022-11-26 00:00:16,"23.004300,120.213713"
54,4,路邊委外,253,C00048,和緯路-2,4,北區,公園路口-西門路口兩側,0,14,0,0,0,0,0,0,15,0,0,0,0,0,,,2022-11-26 00:00:16,"23.012232,120.205822"
55,4,路邊委外,254,C00049,府前四街,5,安平區,府前路口-建平17街口兩側,0,12,0,0,0,0,0,0,28,0,0,0,0,0,,,2022-11-26 00:00:16,"22.996996,120.185319"
56,4,路邊委外,255,C00050,南島路東段,5,安平區,南島路,0,25,0,0,0,0,0,0,35,0,0,0,0,0,,,2022-11-26 00:00:15,"22.991104,120.185832"
57,3,民營停車場,257,B00009,博客停車場開發股份有限公司燦坤海佃場,6,安南區,台南市安南區海佃路一段329號,0,82,0,0,0,0,0,0,146,0,0,0,0,0,,,2022-11-26 15:59:45,"23.026084,120.190838"
58,5,智慧停車,258,D00006,勝利路-1(路邊停車格),2,東區,東門路口-大學路口兩側 ,0,23,0,0,0,0,0,0,39,0,0,0,0,0,08:00~22:00,每小時20元,2022-11-26 16:05:03,"22.990740,120.217720"
59,5,智慧停車,259,D00007,勝利路-2(路邊停車格),2,東區,大學路口-小東路口兩側 ,0,31,0,0,0,0,0,0,33,0,0,0,0,0,08:00~22:00,每小時20元,2022-11-26 16:05:04,"22.996836,120.218154"
60,5,智慧停車,260,D00008,勝利路-3(路邊停車格),4,北區,小東路口-東豐路口兩側 ,0,5,0,0,0,0,0,0,24,0,0,0,0,0,08:00~22:00,每小時20元,2022-11-26 16:05:04,"23.001863,120.218551"
61,5,智慧停車,261,D00009,長榮路-3(路邊停車格),2,東區,東寧路口-大學路口兩側,0,13,0,0,0,0,0,0,17,0,0,0,0,0,08:00~22:00,每小時20元,2022-11-26 16:05:05,"22.993639,120.221729"
62,5,智慧停車,262,D00010,長榮路-4(路邊停車格),2,東區,大學路口-東豐路口兩側 ,0,70,0,0,0,0,0,0,81,0,0,0,0,0,08:00~22:00,每小時20元,2022-11-26 16:05:06,"22.998840,120.222156"
63,5,智慧停車,263,D00011,前鋒路-3(路邊停車格),4,北區,小東路口-東豐路口兩側 ,0,20,0,0,0,0,0,0,21,0,0,0,0,0,08:00~22:00,每小時20元,2022-11-26 16:05:06,"23.002477,120.214804"
64,5,智慧停車,264,D00012,林森路-4(路邊停車格),4,北區,小東路口-開元路口兩側 ,0,21,0,0,0,0,0,0,22,0,0,0,0,0,08:00~22:00,每小時20元,2022-11-26 16:05:11,"23.005566,120.224688"
65,5,智慧停車,265,D00013,東和路(路邊停車格）,2,東區,小東路口-林森路口兩側 ,0,12,0,0,0,0,0,0,21,0,0,0,0,0,08:00~22:00,每小時20元,2022-11-26 16:05:16,"22.998481,120.225730"
